job_name,first,second,first-second,third
市场-市场/营销-网络推广,市场,市场/营销,市场-市场/营销,网络推广
生产制造-机械设计/制造-机械制图员,生产制造,机械设计/制造,生产制造-机械设计/制造,机械制图员
服务业-酒店-礼仪/迎宾/接待,服务业,酒店,服务业-酒店,礼仪/迎宾/接待
教育培训-教师-英语教师,教育培训,教师,教育培训-教师,英语教师
运营-客服-网络客服,运营,客服,运营-客服,网络客服
教育培训-教育行政-教学管理,教育培训,教育行政,教育培训-教育行政,教学管理
人力/财务/行政-人力资源-HRBP,人力/财务/行政,人力资源,人力/财务/行政-人力资源,HRBP
生产制造-质量安全-生产安全员,生产制造,质量安全,生产制造-质量安全,生产安全员
技术-数据-数据开发,技术,数据,技术-数据,数据开发
生产制造-技工/普工-喷塑工,生产制造,技工/普工,生产制造-技工/普工,喷塑工
服务业-零售-门店店长,服务业,零售,服务业-零售,门店店长
设计-高端设计职位-设计经理/主管,设计,高端设计职位,设计-高端设计职位,设计经理/主管
技术-测试-游戏测试,技术,测试,技术-测试,游戏测试
人力/财务/行政-财务-财务经理/主管,人力/财务/行政,财务,人力/财务/行政-财务,财务经理/主管
供应链/物流-交通/运输-商务司机,供应链/物流,交通/运输,供应链/物流-交通/运输,商务司机
服务业-汽车服务-汽车改装工程师,服务业,汽车服务,服务业-汽车服务,汽车改装工程师
技术-后端开发-Java,技术,后端开发,技术-后端开发,Java
销售-金融销售-保险顾问,销售,金融销售,销售-金融销售,保险顾问
运营-运营-淘宝运营,运营,运营,运营-运营,淘宝运营
金融-银行-信贷专员,金融,银行,金融-银行,信贷专员
服务业-零售-陈列员,服务业,零售,服务业-零售,陈列员
运营-运营-速卖通运营,运营,运营,运营-运营,速卖通运营
人力/财务/行政-财务-统计员,人力/财务/行政,财务,人力/财务/行政-财务,统计员
传媒-影视媒体-导演/编导,传媒,影视媒体,传媒-影视媒体,导演/编导
技术-测试-硬件测试,技术,测试,技术-测试,硬件测试
技术-测试-渗透测试,技术,测试,技术-测试,渗透测试
销售-广告/会展销售-广告销售,销售,广告/会展销售,销售-广告/会展销售,广告销售
运营-运营-亚马逊产品开发,运营,运营,运营-运营,亚马逊产品开发
销售-销售行政/商务-商务总监,销售,销售行政/商务,销售-销售行政/商务,商务总监
