job_name,first,second,first-second,third
人力/财务/行政-人力资源-招聘,人力/财务/行政,人力资源,人力/财务/行政-人力资源,招聘
技术-数据-ETL工程师,技术,数据,技术-数据,ETL工程师
设计-视觉/交互设计-原画师,设计,视觉/交互设计,设计-视觉/交互设计,原画师
生产制造-技工/普工-模具工,生产制造,技工/普工,生产制造-技工/普工,模具工
产品-高端产品职位-高级产品管理岗,产品,高端产品职位,产品-高端产品职位,高级产品管理岗
采购/贸易-采购-采购工程师,采购/贸易,采购,采购/贸易-采购,采购工程师
技术-运维/技术支持-系统管理员,技术,运维/技术支持,技术-运维/技术支持,系统管理员
生产制造-机械设计/制造-机械工程师,生产制造,机械设计/制造,生产制造-机械设计/制造,机械工程师
采购/贸易-进出口贸易-贸易跟单,采购/贸易,进出口贸易,采购/贸易-进出口贸易,贸易跟单
医疗健康-生物制药-医药研发,医疗健康,生物制药,医疗健康-生物制药,医药研发
销售-销售管理-销售总监,销售,销售管理,销售-销售管理,销售总监
市场-市场/营销-选址开发,市场,市场/营销,市场-市场/营销,选址开发
医疗健康-医疗器械-医疗器械研发,医疗健康,医疗器械,医疗健康-医疗器械,医疗器械研发
服务业-美容保健-足疗师,服务业,美容保健,服务业-美容保健,足疗师
生产制造-技工/普工-铣工,生产制造,技工/普工,生产制造-技工/普工,铣工
供应链/物流-交通/运输-货运司机,供应链/物流,交通/运输,供应链/物流-交通/运输,货运司机
咨询/翻译/法律-翻译-俄语翻译,咨询/翻译/法律,翻译,咨询/翻译/法律-翻译,俄语翻译
服务业-餐饮-前厅经理/领班,服务业,餐饮,服务业-餐饮,前厅经理/领班
生产制造-服装/纺织/皮革-服装/纺织/皮革跟单,生产制造,服装/纺织/皮革,生产制造-服装/纺织/皮革,服装/纺织/皮革跟单
医疗健康-医生/医技-整形医生,医疗健康,医生/医技,医疗健康-医生/医技,整形医生
销售-房地产销售/招商-置业顾问,销售,房地产销售/招商,销售-房地产销售/招商,置业顾问
人力/财务/行政-财务-建筑/工程会计,人力/财务/行政,财务,人力/财务/行政-财务,建筑/工程会计
销售-医疗销售-医美咨询,销售,医疗销售,销售-医疗销售,医美咨询
运营-客服-客服专员,运营,客服,运营-客服,客服专员
生产制造-技工/普工-切割工,生产制造,技工/普工,生产制造-技工/普工,切割工
教育培训-教师-数学教师,教育培训,教师,教育培训-教师,数学教师
技术-运维/技术支持-系统工程师,技术,运维/技术支持,技术-运维/技术支持,系统工程师
教育培训-特长培训-少儿编程老师,教育培训,特长培训,教育培训-特长培训,少儿编程老师
教育培训-教师-家教,教育培训,教师,教育培训-教师,家教
教育培训-教师-化学教师,教育培训,教师,教育培训-教师,化学教师
市场-政府事务-社工,市场,政府事务,市场-政府事务,社工
生产制造-汽车制造-汽车零部件设计,生产制造,汽车制造,生产制造-汽车制造,汽车零部件设计
服务业-餐饮-水台,服务业,餐饮,服务业-餐饮,水台
生产制造-质量安全-体系工程师,生产制造,质量安全,生产制造-质量安全,体系工程师
服务业-美容保健-美甲师,服务业,美容保健,服务业-美容保健,美甲师
技术-高端技术职位-架构师,技术,高端技术职位,技术-高端技术职位,架构师
生产制造-机械设计/制造-CNC/数控,生产制造,机械设计/制造,生产制造-机械设计/制造,CNC/数控
生产制造-环保-环境检测员,生产制造,环保,生产制造-环保,环境检测员
高级管理-高级管理职位-联合创始人,高级管理,高级管理职位,高级管理-高级管理职位,联合创始人
销售-销售管理-销售经理,销售,销售管理,销售-销售管理,销售经理
服务业-美容保健-发型师,服务业,美容保健,服务业-美容保健,发型师
服务业-餐饮-咖啡师,服务业,餐饮,服务业-餐饮,咖啡师
供应链/物流-物流-物流专员,供应链/物流,物流,供应链/物流-物流,物流专员
销售-金融销售-理财顾问,销售,金融销售,销售-金融销售,理财顾问
运营-运营-产品运营,运营,运营,运营-运营,产品运营
市场-政府事务-政府关系,市场,政府事务,市场-政府事务,政府关系
市场-公关媒介-活动策划执行,市场,公关媒介,市场-公关媒介,活动策划执行
服务业-餐饮-中餐厨师,服务业,餐饮,服务业-餐饮,中餐厨师
